
RN                     ,INSTANCE_NUMBER,METRIC_NAME_UNIT                                                           ,FIRST_MAXVAL,FIRST_AVERAGE,FIRST_STDDEV,SECOND_MAXVAL,SECOND_AVERAGE,SECOND_STDDEV
03/02 04:30-03/25 06:45,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,         5.5,         2.61,        1.09,         1.77,          1.34,          .21
03/02 04:30-03/25 06:45,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       41.63,        26.19,        7.51,         5.16,             4,          .57
03/02 04:30-03/25 06:45,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       24.64,         20.4,        2.62,          7.6,          5.02,         1.07
03/02 04:30-03/25 06:45,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,        36.7,        25.33,        5.76,          3.5,          2.69,          .35
03/02 05:00-03/25 07:30,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        4.09,         2.83,         .55,         5.58,          3.47,         1.26
03/02 05:00-03/25 07:30,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       25.86,        19.35,        4.35,          6.7,          4.31,         1.09
03/02 05:00-03/25 07:30,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       34.99,        21.58,        5.97,         5.04,          3.57,          .87
03/02 05:00-03/25 07:30,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       45.02,        19.11,        8.79,         3.58,          2.87,          .32
03/02 05:30-03/25 08:15,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.25,         4.32,        1.04,        11.37,          3.66,          2.9
03/02 05:30-03/25 08:15,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       56.92,         36.4,        9.43,        71.94,         19.52,        21.51
03/02 05:30-03/25 08:15,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       47.06,        36.22,         5.5,        54.74,         13.21,        15.83
03/02 05:30-03/25 08:15,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,        51.7,        41.51,        7.68,        49.59,         18.33,         14.5
03/02 06:00-03/25 09:00,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        11.5,         6.15,        2.43,         1.57,           1.3,          .17
03/02 06:00-03/25 09:00,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       79.18,        44.36,        17.5,         7.24,          5.08,          .87
03/02 06:00-03/25 09:00,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       83.08,        43.58,       17.41,         4.28,          3.41,          .55
03/02 06:00-03/25 09:00,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       45.51,        22.37,       10.03,         3.05,          2.59,          .31
03/02 06:30-03/25 09:45,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.55,         3.56,         .85,         1.85,           1.4,          .24
03/02 06:30-03/25 09:45,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       35.06,        22.47,         7.1,         6.66,          5.21,          .95
03/02 06:30-03/25 09:45,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       51.76,        35.12,        9.83,         7.29,          3.86,         1.08
03/02 06:30-03/25 09:45,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,        52.4,        23.17,        8.86,         3.09,          2.67,          .31
03/02 07:00-03/25 10:30,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.67,         4.09,        1.14,         1.71,          1.22,          .19
03/02 07:00-03/25 10:30,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       44.03,        25.49,       10.15,         7.91,          5.85,         1.26
03/02 07:00-03/25 10:30,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       52.69,        28.72,       11.98,        11.09,          4.54,         1.98
03/02 07:00-03/25 10:30,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       31.41,        18.48,        6.77,          3.1,          2.39,          .37
03/02 07:30-03/25 11:15,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.17,         2.83,         .87,          1.5,          1.16,          .16
03/02 07:30-03/25 11:15,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,      102.37,        21.88,       23.97,         7.72,          3.67,         1.48
03/02 07:30-03/25 11:15,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       39.75,         18.3,       11.37,         8.71,          4.49,         2.12
03/02 07:30-03/25 11:15,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,      767.92,       132.56,      215.09,         3.25,          2.49,          .36
03/02 08:00-03/25 12:00,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,       15.23,         4.79,        3.12,         1.37,          1.06,          .16
03/02 08:00-03/25 12:00,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,      438.97,       166.04,      135.73,         6.88,          4.84,          .88
03/02 08:00-03/25 12:00,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,      800.95,       274.07,      224.12,         8.65,          6.69,         1.58
03/02 08:00-03/25 12:00,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,     1490.13,       924.75,      359.78,         3.01,          2.29,           .4
03/02 08:30-03/25 12:45,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,         4.2,         2.77,         .77,         1.12,          1.03,          .07
03/02 08:30-03/25 12:45,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       26.14,        14.64,        5.16,         7.85,          5.79,         1.42
03/02 08:30-03/25 12:45,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       32.54,         19.1,        5.03,         8.54,          5.61,         1.43
03/02 08:30-03/25 12:45,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       29.41,        14.18,        5.49,         2.54,          2.14,           .3
03/02 09:00-03/25 13:30,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.06,         2.82,         .86,         1.61,          1.19,          .14
03/02 09:00-03/25 13:30,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       39.77,        18.13,        9.12,        11.03,          5.45,         1.96
03/02 09:00-03/25 13:30,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       26.13,         16.7,        3.85,        11.64,          6.83,         1.77
03/02 09:00-03/25 13:30,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       58.08,        15.94,       12.06,         3.49,          2.12,          .45
03/02 09:30-03/25 14:15,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.45,         3.56,         .96,         1.32,           1.2,          .07
03/02 09:30-03/25 14:15,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       23.81,        13.33,        4.09,         6.42,          4.97,          .69
