
RN                     ,INSTANCE_NUMBER,METRIC_NAME_UNIT                                                           ,FIRST_MAXVAL,FIRST_AVERAGE,FIRST_STDDEV,SECOND_MAXVAL,SECOND_AVERAGE,SECOND_STDDEV
03/02 22:30-03/26 09:45,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       37.28,        22.62,        6.95,         5.19,          3.51,          .72
03/02 22:30-03/26 09:45,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       37.31,         30.2,        4.27,          6.4,          4.58,         1.24
03/02 22:30-03/26 09:45,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       18.45,        14.63,        2.57,          3.1,          2.43,          .32
03/02 23:00-03/26 10:30,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        7.11,         4.99,        1.09,         1.55,          1.24,          .14
03/02 23:00-03/26 10:30,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       35.85,        21.66,        7.22,         6.82,          5.32,         1.09
03/02 23:00-03/26 10:30,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       38.24,        30.43,        6.27,         6.87,          4.63,         1.14
03/02 23:00-03/26 10:30,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       19.63,        14.49,        2.79,         3.36,          2.59,           .3
03/02 23:30-03/26 11:15,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.45,         4.72,          .4,         1.43,          1.15,          .15
03/02 23:30-03/26 11:15,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       37.49,        20.77,        5.88,         9.36,          5.48,         1.88
03/02 23:30-03/26 11:15,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       33.52,        26.23,        5.42,         9.11,          7.16,         1.57
03/02 23:30-03/26 11:15,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       18.52,        14.49,        2.68,          3.4,          2.74,          .39
03/03 00:00-03/26 12:00,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.64,         4.58,         .65,         1.42,          1.05,          .15
03/03 00:00-03/26 12:00,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,        32.2,        21.19,        6.16,         6.44,          4.94,           .9
03/03 00:00-03/26 12:00,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       24.75,        21.21,        3.32,         8.25,           5.7,         1.19
03/03 00:00-03/26 12:00,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       18.88,        14.89,        2.35,         2.62,          2.27,          .29
03/03 00:30-03/26 12:45,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        8.79,         5.59,        1.38,         1.52,          1.06,          .15
03/03 00:30-03/26 12:45,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       34.05,         25.2,        5.62,         6.52,          4.67,          .74
03/03 00:30-03/26 12:45,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       33.45,        27.45,        4.01,         9.99,          6.75,         1.43
03/03 00:30-03/26 12:45,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       15.19,        11.69,        1.89,         2.91,           2.1,          .32
03/03 01:00-03/26 13:30,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.01,         4.46,         .59,         1.25,           1.1,          .09
03/03 01:00-03/26 13:30,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       27.36,        17.49,        4.43,         7.98,          6.28,         1.32
03/03 01:00-03/26 13:30,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       34.21,        21.56,        5.65,         5.86,          4.96,          .63
03/03 01:00-03/26 13:30,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       16.18,        11.88,         1.9,         2.57,          2.06,          .28
03/03 01:30-03/26 14:15,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.21,         4.04,         .64,         1.41,          1.18,          .09
03/03 01:30-03/26 14:15,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       27.68,        22.72,        3.02,         6.95,          5.84,          .64
03/03 01:30-03/26 14:15,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       30.31,        18.78,        6.11,         6.92,          5.35,          .79
03/03 01:30-03/26 14:15,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       20.89,        12.73,        4.16,         3.31,          2.41,          .47
03/03 02:00-03/26 15:00,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.04,         3.88,         .54,         1.36,          1.19,          .08
03/03 02:00-03/26 15:00,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       48.34,        39.58,        6.39,         7.12,          5.63,          .83
03/03 02:00-03/26 15:00,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       25.55,        19.25,        4.13,         8.39,          5.96,         1.08
03/03 02:00-03/26 15:00,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       17.88,        12.69,         3.2,         3.19,          2.54,          .37
03/03 02:30-03/26 15:39,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,         4.3,          3.5,         .49,         1.29,          1.19,          .06
03/03 02:30-03/26 15:39,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,        26.3,        18.86,        5.09,         6.74,          5.56,          .62
03/03 02:30-03/26 15:39,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       22.55,        15.59,        3.29,          7.9,          5.83,          .93
03/03 02:30-03/26 15:39,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       17.05,        11.86,        3.01,         4.34,          2.75,          .59
03/03 03:00-03/26 16:30,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,         6.6,         4.89,         .91,          1.5,          1.23,          .09
03/03 03:00-03/26 16:30,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       65.94,        30.49,       15.05,         8.55,          5.91,          1.3
03/03 03:00-03/26 16:30,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       40.65,        24.17,       10.84,        12.47,          6.45,         1.93
03/03 03:00-03/26 16:30,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       20.69,        13.81,        3.88,         3.33,          2.55,          .39
03/03 03:30-03/26 17:15,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,         5.8,            4,          .7,         1.27,          1.21,          .05
03/03 03:30-03/26 17:15,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       40.76,        20.61,        8.28,         6.26,          5.37,          .42
03/03 03:30-03/26 17:15,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,        21.3,        15.09,        4.24,          7.2,          5.61,          .74
03/03 03:30-03/26 17:15,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       14.36,        11.15,        1.63,         3.88,          2.94,          .63
03/03 04:00-03/26 18:00,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.33,         3.92,         .57,         2.01,          1.27,          .22
03/03 04:00-03/26 18:00,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       29.36,        17.12,        5.51,        17.13,          6.23,            3
03/03 04:00-03/26 18:00,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,        28.3,        17.72,        6.39,        16.71,          6.92,         2.98
03/03 04:00-03/26 18:00,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       22.47,        12.59,        4.59,         3.44,          2.79,          .37
03/03 04:30-03/26 18:45,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        4.41,          3.5,         .43,         1.27,           1.2,          .05
03/03 04:30-03/26 18:45,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       20.44,        13.11,        4.42,         7.47,          6.01,          .78
03/03 04:30-03/26 18:45,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       24.77,         17.9,        5.21,          7.3,           5.7,          .75
03/03 04:30-03/26 18:45,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       14.31,         10.8,         2.1,         4.45,          3.12,          .66
03/03 05:00-03/26 19:30,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        4.47,         3.44,         .52,         1.32,          1.21,          .06
03/03 05:00-03/26 19:30,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       26.01,        17.19,        4.58,         8.81,          7.13,          .82
03/03 05:00-03/26 19:30,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       18.36,        14.06,        2.89,          6.6,          5.21,          .78
03/03 05:00-03/26 19:30,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       37.34,        21.56,        7.38,         3.93,          2.88,           .6
03/03 05:30-03/26 20:15,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        13.4,         6.57,        2.15,          1.7,          1.27,          .18
03/03 05:30-03/26 20:15,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       32.99,        21.32,        5.15,         8.53,          7.03,          .85
03/03 05:30-03/26 20:15,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       84.84,        47.36,       19.22,         8.63,          5.69,          .98
03/03 05:30-03/26 20:15,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       70.57,         36.1,        11.7,        11.65,          3.68,          2.3
03/03 06:00-03/26 21:00,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,       35.02,        11.54,        7.88,         1.36,          1.24,          .06
03/03 06:00-03/26 21:00,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,      316.31,        71.53,       75.93,         6.73,          5.51,          .58
03/03 06:00-03/26 21:00,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,      196.49,        90.22,       57.52,         7.27,          5.77,          .74
03/03 06:00-03/26 21:00,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,      292.24,       100.98,       65.98,         4.41,           3.2,          .78
03/03 06:30-03/26 21:45,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,       19.37,         7.88,        4.14,         1.29,           1.2,          .06
03/03 06:30-03/26 21:45,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       65.57,        21.23,       14.61,         5.92,          4.87,          .59
03/03 06:30-03/26 21:45,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       99.87,        38.57,       24.99,         7.29,          5.66,          .93
03/03 06:30-03/26 21:45,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,      107.48,        53.12,       27.79,          3.5,          2.75,          .48
03/03 07:00-03/26 22:30,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.93,         3.94,         .98,         1.41,          1.21,          .09
03/03 07:00-03/26 22:30,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       25.41,        18.82,        2.62,        10.06,          6.31,         1.73
03/03 07:00-03/26 22:30,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       24.25,        18.67,        3.32,        11.13,          4.66,         1.88
03/03 07:00-03/26 22:30,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       43.08,         20.2,        9.55,         3.57,          2.76,          .53
03/03 07:30-03/26 23:15,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        7.54,         4.14,        1.48,         1.34,          1.14,           .1
03/03 07:30-03/26 23:15,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       32.43,        23.22,        5.23,         5.18,          4.43,           .6
03/03 07:30-03/26 23:15,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       37.36,        23.49,        5.97,         7.78,          5.48,          .96
03/03 07:30-03/26 23:15,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       31.67,        26.46,        4.48,         3.36,          2.65,          .37
03/03 08:00-03/27 00:00,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        7.67,         5.08,         1.4,         1.63,          1.22,          .16
03/03 08:00-03/27 00:00,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,      111.83,        59.14,       34.88,         6.85,          4.59,         1.17
03/03 08:00-03/27 00:00,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,      205.81,        45.63,       53.63,         8.25,          4.98,         1.32
03/03 08:00-03/27 00:00,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       59.13,        29.05,       15.05,         5.33,          2.88,          .88
03/03 08:30-03/27 00:45,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        9.44,            5,        2.04,          1.7,           1.2,          .18
03/03 08:30-03/27 00:45,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,      417.62,        90.29,       100.3,         5.58,          3.97,          .67
03/03 08:30-03/27 00:45,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,      594.82,       162.55,      154.99,         6.25,           4.8,          .96
03/03 08:30-03/27 00:45,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,     1440.39,       522.78,      305.09,         3.54,          2.68,           .5
03/03 09:00-03/27 01:30,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.59,         3.49,         .88,         1.48,          1.18,          .13
03/03 09:00-03/27 01:30,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       86.14,        25.35,       18.48,         4.88,          3.39,          .99
03/03 09:00-03/27 01:30,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,          85,        30.05,       17.22,         4.63,           3.6,           .8
03/03 09:00-03/27 01:30,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,      210.74,        96.87,       43.98,         3.39,          2.49,          .47
03/03 09:30-03/27 02:15,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        7.72,         4.34,        1.67,         1.96,          1.34,          .22
03/03 09:30-03/27 02:15,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       53.23,        24.76,       10.88,         5.33,          3.19,           .9
03/03 09:30-03/27 02:15,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       36.64,        25.76,        5.02,         8.48,          3.71,         1.99
03/03 09:30-03/27 02:15,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       33.78,        24.51,        5.78,         3.32,          2.74,          .35
03/03 10:00-03/27 03:00,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.63,         3.75,         .97,         2.01,          1.43,          .18
03/03 10:00-03/27 03:00,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       92.27,        33.93,       21.44,         4.03,          3.37,          .64
03/03 10:00-03/27 03:00,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,      203.85,        55.98,       53.38,         6.28,          3.71,         1.45
03/03 10:00-03/27 03:00,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,      538.99,       193.35,      199.06,         5.12,          3.09,          .75
03/03 10:30-03/27 03:45,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.93,         3.65,        1.44,         1.47,          1.33,          .09
03/03 10:30-03/27 03:45,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       31.59,        19.56,        5.05,         5.36,          3.76,          .99
03/03 10:30-03/27 03:45,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       27.08,        17.96,        6.83,         6.88,          4.12,         1.26
03/03 10:30-03/27 03:45,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       47.81,        23.51,       12.12,          3.1,          2.55,          .35
03/03 11:00-03/27 04:30,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,       10.67,         4.76,        2.05,         1.36,          1.16,           .1
03/03 11:00-03/27 04:30,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,      101.56,        45.82,       21.75,         5.22,          3.33,           .7
03/03 11:00-03/27 04:30,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,        42.7,        24.47,        9.37,         4.68,          3.63,          .68
03/03 11:00-03/27 04:30,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       39.92,        20.86,       10.47,         3.13,          2.61,          .34
03/03 11:30-03/27 05:15,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.11,         3.09,         1.1,         2.54,          1.41,          .36
03/03 11:30-03/27 05:15,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       38.08,        26.51,         4.6,        11.96,          5.18,         3.38
03/03 11:30-03/27 05:15,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       36.71,         26.2,        4.76,        12.82,           4.3,         3.36
03/03 11:30-03/27 05:15,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       35.14,        16.33,        6.41,        31.48,            12,        11.22
03/03 12:00-03/27 06:00,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.14,         3.19,        1.08,         2.95,          1.35,          .49
03/03 12:00-03/27 06:00,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       71.56,        30.25,       13.86,         5.86,          3.34,          .95
03/03 12:00-03/27 06:00,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       44.22,        21.54,        8.81,         4.69,          2.97,          .96
03/03 12:00-03/27 06:00,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       54.04,        28.23,        12.2,         7.92,          3.82,         1.49
03/03 12:30-03/27 06:45,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,         6.4,         3.55,        1.07,         1.84,          1.38,           .2
03/03 12:30-03/27 06:45,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       45.13,        29.43,        7.81,         5.92,          3.93,           .9
03/03 12:30-03/27 06:45,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       40.03,        24.98,        6.68,         5.16,           4.1,          .62
03/03 12:30-03/27 06:45,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       44.38,        24.99,        8.74,         3.23,          2.41,          .41
03/03 13:00-03/27 07:30,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.39,         3.18,          .7,         4.65,          2.49,          .67
03/03 13:00-03/27 07:30,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       47.98,        28.22,        9.78,         3.97,          2.79,          .62
03/03 13:00-03/27 07:30,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       34.24,        21.95,        6.35,         5.32,          2.99,          .81
03/03 13:00-03/27 07:30,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       44.92,        26.71,        7.47,         3.43,          2.41,          .49
03/03 13:30-03/27 08:15,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.97,         3.47,         .82,         7.45,          2.82,         1.84
03/03 13:30-03/27 08:15,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       47.48,        29.96,        7.85,        43.64,         15.08,        12.85
03/03 13:30-03/27 08:15,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       27.22,        18.95,        4.04,        43.02,         11.68,        13.07
03/03 13:30-03/27 08:15,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       28.02,         19.7,           4,        52.72,         16.61,        16.66
03/03 14:00-03/27 09:00,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.02,         3.77,          .5,         2.03,          1.49,          .25
03/03 14:00-03/27 09:00,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       38.56,        21.94,        7.42,         6.49,          4.53,          .97
03/03 14:00-03/27 09:00,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       34.12,        23.18,        4.08,         5.02,          3.95,          .74
03/03 14:00-03/27 09:00,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       33.71,        21.83,        5.35,         2.21,          1.62,          .39
03/03 14:30-03/27 09:45,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.39,         4.12,         .56,         2.61,          1.62,           .4
03/03 14:30-03/27 09:45,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       43.35,        27.99,        7.93,          7.7,          4.86,         1.28
03/03 14:30-03/27 09:45,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       34.02,        25.59,         5.8,         6.51,          4.23,            1
03/03 14:30-03/27 09:45,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       19.46,        15.54,        2.17,         2.43,          1.82,          .49
03/03 15:00-03/27 10:30,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.53,         4.76,         .83,          1.6,          1.31,          .15
03/03 15:00-03/27 10:30,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       48.73,        26.37,        7.97,         7.88,          4.61,         1.42
03/03 15:00-03/27 10:30,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       33.99,         22.5,        5.75,         9.22,           5.9,         1.63
03/03 15:00-03/27 10:30,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       23.18,        17.94,        3.78,         2.69,          1.96,           .5
03/03 15:30-03/27 11:15,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.87,         4.47,         .77,         1.44,          1.18,          .15
03/03 15:30-03/27 11:15,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,        33.7,        22.64,        5.02,         5.67,             4,          .65
03/03 15:30-03/27 11:15,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       30.08,           25,        3.81,         8.86,          6.85,         1.78
03/03 15:30-03/27 11:15,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       27.64,         18.7,        5.57,         2.61,          1.74,          .48
03/03 16:00-03/27 12:00,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.44,         5.07,         .82,         1.84,          1.12,          .21
03/03 16:00-03/27 12:00,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       30.46,        19.93,        3.59,         7.44,          4.42,         1.09
03/03 16:00-03/27 12:00,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       43.08,         29.6,        6.61,         8.82,          6.69,         1.38
03/03 16:00-03/27 12:00,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       33.11,        19.02,        6.48,         2.09,           1.5,          .41
03/03 16:30-03/27 12:45,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.11,          4.9,          .8,         1.22,          1.07,          .07
03/03 16:30-03/27 12:45,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       28.42,        21.18,        4.88,         8.06,          5.06,         1.15
03/03 16:30-03/27 12:45,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       39.05,        27.34,        6.23,         8.14,          6.25,         1.25
03/03 16:30-03/27 12:45,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       20.08,        17.35,        2.18,         2.13,          1.56,          .35
03/03 17:00-03/27 13:30,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.84,         4.98,         .83,          1.3,          1.12,          .09
03/03 17:00-03/27 13:30,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       24.07,         17.3,        3.52,         8.07,          5.67,         1.04
03/03 17:00-03/27 13:30,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,        28.7,        21.98,        3.59,         7.24,          5.28,          .96
03/03 17:00-03/27 13:30,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       32.91,        23.64,        6.61,         2.71,          1.64,           .5
03/03 17:30-03/27 14:15,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.56,          5.3,         .84,         1.58,           1.2,          .12
03/03 17:30-03/27 14:15,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       24.53,         18.5,        3.63,        10.56,          5.89,         1.66
03/03 17:30-03/27 14:15,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       29.51,        23.07,         4.1,         9.66,          6.18,         1.54
03/03 17:30-03/27 14:15,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       24.33,        18.41,        4.15,         2.85,           1.7,          .54
03/03 18:00-03/27 15:00,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.09,         5.15,         .57,         1.29,          1.18,          .06
03/03 18:00-03/27 15:00,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       20.78,        16.64,        2.69,         7.64,           5.5,          .82
03/03 18:00-03/27 15:00,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,        39.5,        24.82,        5.46,         8.63,          6.27,         1.13
03/03 18:00-03/27 15:00,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       25.74,        17.69,        3.89,         2.36,          1.86,          .43
03/03 18:30-03/27 15:45,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.78,         4.65,         .54,         1.44,          1.22,          .08
03/03 18:30-03/27 15:45,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       26.12,        20.32,        3.01,         8.35,          6.31,         1.09
03/03 18:30-03/27 15:45,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       32.85,        22.13,        5.11,         6.35,          5.11,          .71
03/03 18:30-03/27 15:45,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       27.26,        19.03,        4.01,         2.32,          1.75,          .48
03/03 19:00-03/27 16:30,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.87,         5.13,         .84,         1.36,           1.2,          .06
03/03 19:00-03/27 16:30,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       31.55,        24.58,         4.4,         7.99,          5.94,         1.06
03/03 19:00-03/27 16:30,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       28.62,        22.82,         3.7,         7.95,          5.43,         1.14
03/03 19:00-03/27 16:30,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       27.35,        18.94,        4.45,         2.87,          1.89,          .54
03/03 19:30-03/27 17:15,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.54,         5.12,         .69,         1.34,          1.22,          .08
03/03 19:30-03/27 17:15,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       40.56,        27.78,         7.2,         8.89,          6.26,         1.34
03/03 19:30-03/27 17:15,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       23.87,        19.14,        2.74,        10.53,          6.35,         1.84
03/03 19:30-03/27 17:15,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       48.27,        19.54,        9.14,         2.78,          1.94,          .45
03/03 20:00-03/27 18:00,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.94,         5.32,         .77,          1.4,           1.2,          .11
03/03 20:00-03/27 18:00,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       39.41,        28.32,        6.59,         10.7,          5.88,         2.07
03/03 20:00-03/27 18:00,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       24.62,        18.19,        3.26,        13.21,          6.55,         2.24
03/03 20:00-03/27 18:00,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       27.24,        17.96,        4.26,         3.17,          1.94,          .58
03/03 20:30-03/27 18:45,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.28,         5.22,         .79,         1.22,          1.12,          .05
03/03 20:30-03/27 18:45,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,        38.2,         26.3,           6,         6.17,          5.43,          .72
03/03 20:30-03/27 18:45,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       26.99,        19.94,        3.76,         7.06,          5.47,          .92
03/03 20:30-03/27 18:45,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       33.09,        22.97,        5.01,         2.51,          1.84,          .43
03/03 21:00-03/27 19:30,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.59,         5.41,          .9,         1.24,          1.13,          .05
03/03 21:00-03/27 19:30,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       30.54,        25.88,         3.8,         8.78,          6.17,         1.28
03/03 21:00-03/27 19:30,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       27.27,        22.01,        2.34,         6.41,          5.26,          .76
03/03 21:00-03/27 19:30,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       25.79,        20.16,        3.64,         3.45,          2.11,          .57
03/03 21:30-03/27 20:15,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.85,          5.4,         .82,         1.39,          1.25,          .08
03/03 21:30-03/27 20:15,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       30.16,        22.42,        4.22,         7.25,          5.66,          .84
03/03 21:30-03/27 20:15,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       31.59,        20.34,        3.84,          7.9,          5.73,         1.12
03/03 21:30-03/27 20:15,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,        24.4,        19.91,        3.12,         6.41,          2.54,         1.23
